date,electricity_demand
2019-01-01,-83.7447192589907
2019-01-02,-52.75552627813181
2019-01-03,-546.7253187928936
2019-01-04,-633.2597660621246
2019-01-05,82.01814386757017
2019-01-06,123.32427324516254
2019-01-07,-112.5019795605362
2019-01-08,4.405852860106222
2019-01-09,172.09855027102634
2019-01-10,268.8299807299496
2019-01-11,123.03108053408408
2019-01-12,205.3315194741109
2019-01-13,236.82751354116212
2019-01-14,110.43099158425741
2019-01-15,96.36843740590416
2019-01-16,137.0141060759649
2019-01-17,-323.4819694419959
2019-01-18,-319.79413852985147
2019-01-19,-122.6858819941533
2019-01-20,244.053744051627
2019-01-21,207.69753189206568
2019-01-22,287.4197359485854
2019-01-23,-192.00055344929245
2019-01-24,86.48723007392147
2019-01-25,123.03108053408408
2019-01-26,214.35885000514628
2019-01-27,316.27376608112127
2019-01-28,557.9841307451519
2019-01-29,257.12471008955646
2019-01-30,-98.78344213351247
2019-01-31,186.69738364235457
2019-02-01,127.30524116889319
2019-02-02,-122.6858819941533
2019-02-03,150.18034815907794
2019-02-04,189.40058924329946
2019-02-05,339.66283785987423
2019-02-06,123.03108053408408
2019-02-07,466.4331948089276
2019-02-08,312.4421737717223
2019-02-09,608.1203785708103
2019-02-10,675.6793920863445
2019-02-11,367.94043649383013
2019-02-12,54.69843912932049
2019-02-13,13.978639474392935
2019-02-14,-298.58911078502126
2019-02-15,113.1215644394087
2019-02-16,338.09343231130896
2019-02-17,201.64368856196654
2019-02-18,-179.81328245312946
2019-02-19,117.8066534085462
2019-02-20,296.8652142158173
2019-02-21,108.45749696202301
2019-02-22,228.07881334890388
2019-02-23,-221.64267813669443
2019-02-24,259.16360681666305
2019-02-25,-384.84337823017614
2019-02-26,-295.95281676707515
2019-02-27,-18.876278598608025
2019-02-28,53.59984279978519
2019-03-01,416.5377504764779
2019-03-02,338.24286362513277
2019-03-03,228.52989398883722
2019-03-04,440.611091152976
2019-03-05,123.77106987808816
2019-03-06,-1.7519797028514432
2019-03-07,258.223238550019
2019-03-08,418.1255665636512
2019-03-09,-63.017788004131404
2019-03-10,173.34200947283355
2019-03-11,156.62708942610635
2019-03-12,-164.67211983104812
2019-03-13,-331.116789598609
2019-03-14,-33.29314358590426
2019-03-15,-54.32043125421798
2019-03-16,-241.87758724313426
2019-03-17,192.03420443902894
2019-03-18,31.421637453139084
2019-03-19,-30.025350029291772
2019-03-20,52.62666519796932
2019-03-21,23.25359706697634
2019-03-22,101.74652415278138
2019-03-23,277.67689236225186
2019-03-24,389.23071849119424
2019-03-25,-141.9858761850469
2019-03-26,308.34341452524956
2019-03-27,12.442043260999412
2019-03-28,516.3714024001263
2019-03-29,105.09879492862729
2019-03-30,783.3374488445977
2019-03-31,521.2273921851208
2019-04-01,342.7360302866613
2019-04-02,2.9705270501822554
2019-04-03,-46.86641013754681
2019-04-04,-10.500299753900748
2019-04-05,372.0276801618463
2019-04-06,284.76931539903916
2019-04-07,282.133021381093
2019-04-08,-170.1568067639276
2019-04-09,29.707301163229033
2019-04-10,-131.4407001132625
2019-04-11,158.6005840483407
2019-04-12,65.40449422431249
2019-04-13,223.12772678678283
2019-04-14,340.086779081205
2019-04-15,40.71957402588242
2019-04-16,188.15445121927564
2019-04-17,-251.5692666551803
2019-04-18,106.024913095106
2019-04-19,-175.53489351080486
2019-04-20,539.5610480348578
2019-04-21,371.66536074815406
2019-04-22,346.6016012753222
2019-04-23,395.56780060879487
2019-04-24,398.45713503221447
2019-04-25,152.32767899202997
2019-04-26,-159.50307301773267
2019-04-27,818.0645232672907
2019-04-28,609.1688565015833
2019-04-29,-18.443540628209803
2019-04-30,-122.85372384658513
2019-05-01,158.78138308828272
2019-05-02,-175.86629320866075
2019-05-03,428.26710157204826
2019-05-04,364.85005857201736
2019-05-05,84.8340675813682
2019-05-06,23.12401790081418
2019-05-07,354.04950446514243
2019-05-08,-118.06203469144543
2019-05-09,62.59046012984987
2019-05-10,158.4197850083987
2019-05-11,417.83854747891587
2019-05-12,-35.0998978307241
2019-05-13,549.7094223039142
2019-05-14,254.6649868040368
2019-05-15,195.65969220972653
2019-05-16,197.37402849963655
2019-05-17,557.1363040019827
2019-05-18,605.890784579677
2019-05-19,-17.45618079530152
2019-05-20,-149.2319588431734
2019-05-21,-179.1202846753897
2019-05-22,154.83439384381393
2019-05-23,237.0182108051888
2019-05-24,395.46536086123535
2019-05-25,410.28514557811064
2019-05-26,661.3317095011543
2019-05-27,-80.26592828040816
2019-05-28,331.97985679290684
2019-05-29,-67.38565950650539
2019-05-30,97.93217303790027
2019-05-31,436.7696006194923
2019-06-01,269.88841258429943
2019-06-02,195.2098366133755
2019-06-03,-38.33983063492562
2019-06-04,-435.73185231210346
2019-06-05,-65.56166406716767
2019-06-06,467.7576242562611
2019-06-07,119.59817964674852
2019-06-08,-185.68632674328666
